 ,100 ml
t(s),V (V)
-2.08E-01,-2.40E-02
-2.04E-01,8.00E-03
-2.00E-01,-3.20E-02
-1.96E-01,1.60E-02
-1.92E-01,-2.40E-02
-1.88E-01,1.60E-02
-1.84E-01,1.60E-02
-1.80E-01,-2.40E-02
-1.76E-01,8.00E-03
-1.72E-01,-3.20E-02
-1.68E-01,-2.40E-02
-1.64E-01,8.00E-03
-1.60E-01,8.00E-03
-1.56E-01,-2.40E-02
-1.52E-01,-2.40E-02
-1.48E-01,1.60E-02
-1.44E-01,8.00E-03
-1.40E-01,-2.40E-02
-1.36E-01,-3.20E-02
-1.32E-01,8.00E-03
-1.28E-01,-8.00E-03
-1.24E-01,8.00E-03
-1.20E-01,8.00E-03
-1.16E-01,-3.20E-02
-1.12E-01,-2.40E-02
-1.08E-01,1.60E-02
-1.04E-01,-2.40E-02
-1.00E-01,8.00E-03
-9.60E-02,-2.40E-02
-9.20E-02,8.00E-03
-8.80E-02,8.00E-03
-8.40E-02,-3.20E-02
-8.00E-02,8.00E-03
-7.60E-02,-3.20E-02
-7.20E-02,-2.40E-02
-6.80E-02,8.00E-03
-6.40E-02,8.00E-03
-6.00E-02,-2.40E-02
-5.60E-02,8.00E-03
-5.20E-02,-3.20E-02
-4.80E-02,8.00E-03
-4.40E-02,-2.40E-02
-4.00E-02,-8.00E-03
-3.60E-02,1.60E-02
-3.20E-02,0.00E+00
-2.80E-02,2.40E-02
-2.40E-02,4.00E-02
-2.00E-02,8.00E-03
-1.60E-02,2.40E-02
-1.20E-02,5.60E-02
-8.00E-03,4.00E-02
-4.00E-03,1.76E-01
-4.34E-08,1.76E-01
4.00E-03,3.60E-01
8.00E-03,3.84E-01
1.20E-02,2.64E-01
1.60E-02,2.64E-01
2.00E-02,-2.24E-01
2.40E-02,-2.32E-01
2.80E-02,-3.92E-01
3.20E-02,-3.68E-01
3.60E-02,-2.00E-01
4.00E-02,-2.00E-01
4.40E-02,-4.80E-02
4.80E-02,-5.60E-02
5.20E-02,9.60E-02
5.60E-02,1.04E-01
6.00E-02,2.56E-01
6.40E-02,2.64E-01
6.80E-02,3.36E-01
7.20E-02,3.20E-01
7.60E-02,8.00E-03
8.00E-02,0.00E+00
8.40E-02,-3.36E-01
8.80E-02,-3.52E-01
9.20E-02,-2.64E-01
9.60E-02,-2.56E-01
1.00E-01,-1.20E-01
1.04E-01,-1.20E-01
1.08E-01,3.20E-02
1.12E-01,3.20E-02
1.16E-01,1.68E-01
1.20E-01,1.68E-01
1.24E-01,2.88E-01
1.28E-01,2.96E-01
1.32E-01,1.60E-01
1.36E-01,1.68E-01
1.40E-01,-1.84E-01
1.44E-01,-1.84E-01
1.48E-01,-3.04E-01
1.52E-01,-2.88E-01
1.56E-01,-1.76E-01
1.60E-01,-1.68E-01
1.64E-01,-4.00E-02
1.68E-01,-3.20E-02
1.72E-01,9.60E-02
1.76E-01,8.79E-02
1.80E-01,2.24E-01
1.84E-01,2.24E-01
1.88E-01,2.64E-01
1.92E-01,2.32E-01
1.96E-01,-8.00E-03
2.00E-01,-3.20E-02
2.04E-01,-2.48E-01
2.08E-01,-2.64E-01
2.12E-01,-2.24E-01
2.16E-01,-2.08E-01
2.20E-01,-9.60E-02
2.24E-01,-9.60E-02
2.28E-01,4.00E-02
2.32E-01,4.00E-02
2.36E-01,1.52E-01
2.40E-01,1.44E-01
2.44E-01,2.32E-01
2.48E-01,2.40E-01
2.52E-01,1.12E-01
2.56E-01,1.04E-01
2.60E-01,-1.52E-01
2.64E-01,-1.52E-01
2.68E-01,-2.48E-01
2.72E-01,-2.32E-01
2.76E-01,-1.36E-01
2.80E-01,-1.44E-01
2.84E-01,-3.20E-02
2.88E-01,-3.20E-02
2.92E-01,7.99E-02
2.96E-01,7.99E-02
3.00E-01,1.76E-01
3.04E-01,2.08E-01
3.08E-01,1.68E-01
3.12E-01,1.68E-01
3.16E-01,-4.00E-02
3.20E-01,-3.20E-02
3.24E-01,-1.92E-01
3.28E-01,-2.16E-01
3.32E-01,-1.68E-01
3.36E-01,-1.76E-01
3.40E-01,-7.99E-02
3.44E-01,-8.79E-02
3.48E-01,2.40E-02
3.52E-01,3.20E-02
3.56E-01,1.36E-01
3.60E-01,1.28E-01
3.64E-01,1.84E-01
3.68E-01,1.92E-01
3.72E-01,7.20E-02
3.76E-01,7.20E-02
3.80E-01,-1.20E-01
3.84E-01,-1.20E-01
3.88E-01,-2.08E-01
3.92E-01,-1.92E-01
3.96E-01,-1.20E-01
4.00E-01,-1.20E-01
4.04E-01,-8.00E-03
4.08E-01,-2.40E-02
4.12E-01,7.99E-02
4.16E-01,7.20E-02
4.20E-01,1.44E-01
4.24E-01,1.68E-01
4.28E-01,1.12E-01
4.32E-01,1.36E-01
4.36E-01,-3.20E-02
4.40E-01,-2.40E-02
4.44E-01,-1.60E-01
4.48E-01,-1.76E-01
4.52E-01,-1.28E-01
4.56E-01,-1.60E-01
4.60E-01,-6.40E-02
4.64E-01,-8.79E-02
4.68E-01,3.20E-02
4.72E-01,2.40E-02
4.76E-01,1.12E-01
4.80E-01,1.04E-01
4.84E-01,1.44E-01
4.88E-01,1.36E-01
4.92E-01,4.00E-02
4.96E-01,5.60E-02
5.00E-01,-9.60E-02
5.04E-01,-9.60E-02
5.08E-01,-1.60E-01
5.12E-01,-1.60E-01
5.16E-01,-1.04E-01
5.20E-01,-1.04E-01
5.24E-01,-2.40E-02
5.28E-01,-2.40E-02
5.32E-01,7.20E-02
5.36E-01,6.40E-02
5.40E-01,1.28E-01
5.44E-01,1.44E-01
5.48E-01,9.60E-02
5.52E-01,1.04E-01
5.56E-01,-2.40E-02
5.60E-01,-3.20E-02
5.64E-01,-1.28E-01
5.68E-01,-1.52E-01
5.72E-01,-1.20E-01
5.76E-01,-1.28E-01
5.80E-01,-6.40E-02
5.84E-01,-6.40E-02
5.88E-01,2.40E-02
5.92E-01,2.40E-02
5.96E-01,9.60E-02
6.00E-01,8.79E-02
6.04E-01,1.28E-01
6.08E-01,1.20E-01
6.12E-01,4.00E-02
6.16E-01,4.00E-02
6.20E-01,-8.79E-02
6.24E-01,-7.20E-02
6.28E-01,-1.36E-01
6.32E-01,-1.28E-01
6.36E-01,-8.79E-02
